year,venue,type,award,authors,title,journal,date,link
2025,A-SSCC,conference,,"Mingxuan Li, Qinzhe Zhi, Zhaoyang Zhang, Fangyuan Dong, Wenjie Ren, Jun Yang, Le Ye, Xin Si, Tianyu Jia*",A 30.28-151.42 TFLOPS/W@FP8 Training Accelerator with Hybrid Compute-in-Memory and Workload Scheduling for Edge AI Applications,IEEE Asian Solid-State Circuits Conference (A-SSCC),Nov. 2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:yD5IFk8b50cC
2025,ICCAD,conference,,"Siyuan He, Zhantong Zhu, Yandong He, Tianyu Jia*",LP-Spec: Leveraging LPDDR PIM for Efficient LLM Mobile Speculative Inference with Architecture-Dataflow Co-Optimization,IEEE/ACM International Conference on Computer-Aided Design (ICCAD),Oct. 2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:M05iB0D1s5AC
2025,ICCAD,conference,,"Siyuan He, Peiran Yan, Yandong He, Youwei Zhuo, Tianyu Jia*",Tasa: Thermal-aware 3D-Stacked Architecture Design with Bandwidth Sharing for LLM Inference,IEEE/ACM International Conference on Computer-Aided Design (ICCAD),Oct. 2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:g5m5HwL7SMYC
2025,ICCAD,conference,,"Wenjie Ren, Meng Wu, Mingxuan Li, Peiyu Chen, Tianyu Jia*, Le Ye*",CIMTester: An Agile Golden-Result-Free BIST Compiler for Robust Compute-in-Memory,IEEE/ACM International Conference on Computer-Aided Design (ICCAD),Oct. 2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:cFHS6HbyZ2cC
2025,ESSERC,conference,,"Wenjie Ren, Meng Wu, Xiangjun Ye, Ruohang Xu, Peiyu Chen, Ying Liu, Fengyun Yan, Jiayoon Ru, Yufei Ma, Tianyu Jia*, Le Ye*",A 56.2TOPS/W Hybrid-Inner-Outer-Product SRAM Compute-in-Memory Macro for GEMM with Scalable Precision-Adaptive Systolic Dataflow,51st IEEE European Solid-State Electronics Research Conference (ESSERC),Sep. 2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:HoB7MX3m0LUC
2025,ISLPED,conference,Best Paper,"Peiran Yan, Qinzhe Zhi, Lifeng Liu, Tianyu Jia*",GenSoC: A Multi-Agent-Assisted SoC Generation Methodology Leveraging Open-Source Hardware,IEEE International Symposium on Low Power Electronics and Design (ISLPED),Aug. 2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:dfsIfKJdRG4C
2025,VLSI,conference,,"Yanchi Dong, Xueping Liu, Yiqi Jing, Ru Huang, Le Ye*, Tianyu Jia*",Distributed Power Management for 22nm AI Processor with Event-driven Exponential Dual-loop LDOs and Online Sparsity-Aware Droop Mitigation,IEEE Symposium on VLSI Technology & Circuits (VLSI),Jun. 2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:2P1L_qKh6hAC
2025,DAC,conference,,"Kangbo Bai, Le Ye, Ru Huang, Tianyu Jia*",EdgeMM: Multi-Core CPU with Heterogeneous AI-Extension and Activation-aware Weight Pruning for Multimodal LLMs at Edge,IEEE Design Automation Conference (DAC),Jun. 2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:vV6vV6tmYwMC
2025,DAC,conference,,"Yiyang Sun, Qinzhe Zhi, Yiqi Jing, Le Ye, Ru Huang, Tianyu Jia*",Local-GS: An Order-Independent Gaussian Splatting Training Accelerator Exploiting Splat Locality,IEEE Design Automation Conference (DAC),Jun. 2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:ZHo1McVdvXMC
2025,DAC,conference,,"Wentao Zhao, Boya Lv, Meng Wu, Peiyu Chen, Fengyun Yan, Yufei Ma, Tianyu Jia*, Ru Huang, Le Ye*",3D-TokSIM: Stacking 3D Memory with Token-Stationary Compute-in-Memory for Speculative LLM Inference,IEEE Design Automation Conference (DAC),Jun. 2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:SeFeTyx0c_EC
2025,ISCAS,conference,,"Xueping Liu, Le Ye, Tianyu Jia*","A 22nm Fully-synthesizable, All Digital Adaptive Clocking Generator with Fast-response Frequency Adjustment for AI Processor",IEEE International Symposium on Circuits and Systems (ISCAS),May 2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:70eg2SAEIzsC
2025,ISEDA,conference,Honorable Mention,"Kangbo Bai, Peiran Yan, Lifeng Liu, Tianyu Jia*",VeriRAG: Design AI-Specific CPU Co-processor with RAG-Enhanced LLMs,International Symposium of EDA (ISEDA),May 2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:ldfaerwXgEUC
2025,DATE,conference,,"Zhantong Zhu, Hongou Li, Wenjie Ren, Meng Wu, Le Ye, Ru Huang, Tianyu Jia*",Leveraging Compute-in-Memory for Efficient Generative Model Inference in TPUs,"Design, Automation and Test in Europe Conference (DATE)",Mar. 2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:NaGl4SEjCO4C
2025,ISSCC,conference,,"Yiqi Jing, Jiaqi Zhou, Yiyang Sun, Siyuan He, Ru Huang, Le Ye*, Tianyu Jia*",37.6 A 22nm 60.81TFLOPS/W Diffusion Accelerator with Bandwidth-Aware Memory Partition and BL-Segmented Compute-in-Memory for Efficient Multi-Task Content Generation,IEEE International Solid-State Circuits Conference (ISSCC),Feb. 2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:RYcK_YlVTxYC
2025,ASP-DAC,conference,,"Yiyang Sun, Peiran Yan, Yiqi Jing, Le Ye, Tianyu Jia*",GSNorm: An Efficient 3D Gaussian Rendering Accelerator with Splat Normalization and LUT-assist Rasterization,30th Asia and South Pacific Design Automation Conference (ASP-DAC),Jan. 2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:J_g5lzvAfSwC
2025,JSSC,journal,,"Joseph Zuckerman, Martin Cochet, Maico Cassel dos Santos, Erik Jens Loscalzo, Karthik Swaminathan, Tianyu Jia, Davide Giri, Thierry Tambe, Jeff Jun Zhang, et al.",EPOCHS-1: A 12nm Highly Heterogeneous Open-Source SoC with Distributed Coin-Based Power Management and Integrated Hybrid Voltage Regulation,IEEE Journal of Solid-State Circuits (JSSC),2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:3s1wT3WcHBgC
